NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.07,0.13,0.135
0.15,0.105,0.105
0.14,0.07,0.06
0.035,0.035,0.035
0.07,0.035,0.035
0.035,0.03,0.03
0.04,0.03,0.03
0.03,0.02,0.025
0.025,0.02,0.02
